University Rating,SOP,LOR ,Research,Chance of Admit ,adm_score
4,2.2,3.7,0,75.0,126.07
1,4.4,3.5,0,63.9,120.82
1,1.8,1.9,0,56.4,116.9
3,5.0,4.7,0,83.1,126.44
1,4.9,5.0,1,79.7,128.35
4,1.8,4.2,1,43.6,121.63
4,1.1,1.7,1,50.5,121.43
1,2.9,1.6,0,55.2,118.82
3,2.7,1.9,1,41.5,119.57
3,2.5,2.3,0,57.3,122.05
3,4.5,1.8,1,58.0,121.66
2,2.9,4.8,1,82.0,127.24
5,3.3,3.7,1,70.8,124.07
2,4.9,3.7,0,84.0,126.71
2,2.6,4.0,0,68.5,116.36
2,4.8,4.4,1,86.2,128.92
3,4.0,3.1,0,83.5,129.94
5,1.5,1.8,0,60.5,128.14
2,4.7,2.5,1,70.2,124.54
4,3.2,4.5,1,79.5,128.11
2,1.5,2.2,0,61.4,127.49
3,2.8,1.9,1,53.5,120.83
5,4.1,4.9,0,67.1,122.84
1,1.8,4.0,0,56.5,116.23
2,1.3,3.4,0,50.5,121.48
4,2.2,3.0,0,76.1,127.36
3,2.9,3.6,1,96.6,136.29
4,2.7,3.3,0,58.9,120.7
2,4.0,3.1,1,69.4,125.54
2,1.0,2.2,0,63.1,124.14
3,3.5,3.8,1,72.3,126.53
3,4.8,3.8,0,61.0,120.04
1,3.5,4.0,1,79.7,127.85
2,3.9,3.2,0,69.6,124.52
3,3.3,2.2,0,80.7,131.17
3,2.7,3.3,1,65.8,128.62
2,2.6,3.9,0,40.7,115.37
3,4.8,4.9,0,62.7,121.46
5,4.2,2.0,0,47.2,117.02
5,3.3,2.3,1,71.7,127.56
3,3.8,3.1,1,74.2,129.77
4,3.4,4.9,1,83.2,131.76
3,3.5,2.5,1,46.9,119.21
2,4.7,4.6,1,83.0,122.68
2,3.6,4.5,1,71.8,127.25
3,3.6,2.1,0,48.6,122.2
3,1.3,2.1,1,67.4,123.97
2,4.4,4.5,1,64.8,121.27
4,3.2,2.4,1,86.4,131.25
4,3.9,4.7,1,88.3,129.46
3,3.9,3.0,0,69.8,123.86
2,1.0,1.4,0,44.3,115.64
1,2.2,3.7,0,72.7,125.82
1,2.6,1.8,0,68.3,121.85
2,4.1,4.0,1,77.8,127.65
4,4.2,4.9,0,87.5,132.83
1,4.1,4.1,0,87.0,129.34
3,2.2,1.7,0,51.9,123.34
1,2.1,1.9,1,71.2,120.59
5,4.8,3.3,1,72.9,126.68
5,1.2,2.1,1,76.0,129.35
1,2.6,3.1,1,60.8,118.57
1,1.6,2.5,1,54.8,117.85
3,1.5,2.6,1,67.2,124.63
5,3.8,2.4,1,90.1,129.73
5,2.7,4.3,0,65.2,120.8
4,4.9,4.9,1,74.3,124.4
3,3.2,3.2,0,79.7,125.54
4,2.2,3.3,1,54.6,121.3
3,1.4,3.9,0,72.9,116.66
2,2.5,1.5,1,71.0,123.21
3,3.7,4.4,0,89.9,133.25
2,4.6,4.9,1,91.9,133.24
5,4.7,4.4,1,89.9,131.52
4,2.5,3.9,1,65.3,125.26
1,4.9,3.9,1,86.9,130.31
2,3.2,4.4,1,72.9,121.93
4,3.7,4.1,1,78.3,126.31
5,3.5,2.9,0,63.6,123.46
5,4.8,4.9,1,90.4,136.23
3,3.6,4.1,1,84.9,131.68
3,2.8,3.9,1,77.9,126.87
4,2.5,1.6,0,65.9,126.4
5,2.4,1.4,0,48.0,116.81
2,4.8,3.6,0,79.1,122.46
2,3.9,3.5,1,76.7,121.67
5,4.5,4.9,0,95.6,135.71
2,2.1,2.5,1,62.8,127.26
3,2.4,2.5,0,83.8,128.71
4,3.0,2.6,1,71.8,124.6
2,2.8,1.7,0,68.1,120.3
2,3.0,2.7,1,51.0,118.55
2,1.2,1.6,0,54.8,116.67
2,4.7,4.0,1,88.6,128.92
1,2.6,3.7,0,52.4,119.52
5,3.7,4.5,0,82.1,122.82
4,4.7,3.1,0,89.2,131.54
3,3.2,2.7,1,79.6,125.82
2,3.0,2.0,0,70.7,120.2
1,4.7,3.3,0,55.5,120.1
3,3.0,4.1,0,67.0,125.22
2,4.7,4.5,0,80.1,130.79
1,4.5,4.4,1,85.4,128.24
3,4.5,3.0,0,75.3,128.66
3,3.4,3.2,1,82.2,129.35
2,4.8,4.1,1,75.4,126.41
3,2.0,1.4,0,48.9,119.94
4,1.5,2.2,0,68.2,122.99
5,1.8,3.3,1,72.0,120.08
1,4.1,2.7,0,71.3,122.51
1,4.6,4.6,0,81.8,126.6
3,3.8,3.1,1,90.6,132.05
2,3.7,3.5,0,40.2,117.33
3,2.1,4.3,1,80.2,126.46
2,4.0,4.6,1,71.4,132.26
2,3.0,2.7,0,66.6,129.51
3,2.5,4.4,1,83.6,129.4
2,1.5,4.1,1,79.3,122.35
4,3.8,3.7,0,85.6,128.47
1,4.2,4.1,0,75.0,125.01
3,2.6,4.0,1,52.0,123.79
3,3.6,3.9,1,69.1,127.0
3,2.2,4.6,1,84.2,128.09
2,2.8,2.8,1,79.3,123.43
4,3.6,3.9,1,85.6,132.69
2,2.5,1.9,1,64.2,124.97
2,4.1,3.0,1,81.2,125.56
5,4.5,2.1,1,87.7,131.65
4,4.1,4.6,1,90.3,132.98
5,4.8,5.0,0,91.5,132.1
5,2.2,4.1,0,93.4,135.02
4,3.2,2.5,1,71.7,127.91
3,1.9,3.8,1,49.2,117.68
3,1.3,1.4,1,70.3,126.38
1,1.7,1.7,0,40.2,116.97
5,4.4,3.9,0,72.9,127.64
3,2.7,4.8,1,72.9,124.54
3,1.0,1.5,0,63.5,123.64
5,1.7,3.6,0,57.2,118.17
5,3.7,4.1,1,66.5,125.14
3,3.0,3.0,0,86.6,127.06
3,3.7,4.7,1,77.8,124.5
2,3.3,3.2,0,75.7,124.28
2,2.8,4.5,0,72.7,124.22
2,4.6,3.9,1,75.0,124.63
2,3.3,2.0,1,61.4,118.82
3,3.5,4.0,1,88.0,127.69
4,2.7,4.3,1,84.6,128.79
4,4.4,5.0,1,91.7,128.38
2,2.0,3.6,0,41.9,116.59
3,4.7,4.8,1,94.1,129.44
2,3.3,1.4,0,48.6,121.15
5,2.2,2.9,0,74.0,123.97
3,3.9,4.2,1,77.0,123.89
4,3.5,3.9,1,82.2,125.83
2,3.7,2.1,1,68.3,119.32
3,2.1,1.8,1,64.9,126.02
5,2.5,2.3,1,73.7,124.76
4,2.6,4.4,1,85.8,131.13
4,4.9,4.0,1,78.4,129.42
1,1.5,3.1,0,59.4,120.11
5,1.4,1.7,1,70.7,128.49
2,4.3,2.6,1,60.3,127.45
3,3.6,3.1,0,52.5,122.6
5,4.6,4.3,1,81.2,127.3
4,1.4,1.8,0,63.2,118.28
2,4.4,3.9,1,90.6,134.98
2,2.5,4.0,1,56.3,116.92
5,3.3,3.0,0,75.0,124.52
3,4.2,2.0,0,83.5,125.72
4,3.7,3.1,0,55.4,117.86
2,4.1,4.1,1,83.6,129.69
2,1.4,2.4,1,69.0,123.2
1,3.5,3.8,1,89.7,126.82
3,5.0,4.9,1,78.9,129.26
2,2.3,2.6,1,68.1,128.78
2,4.7,4.7,1,82.2,129.03
3,2.4,1.8,1,66.6,121.46
1,2.1,4.4,1,72.3,126.12
4,4.0,2.7,1,91.5,128.58
3,4.7,4.8,1,72.7,129.4
5,4.5,4.8,0,65.9,121.95
4,4.5,2.9,1,77.4,128.25
1,3.7,2.3,1,76.0,128.75
5,4.3,2.6,1,72.2,128.2
2,2.3,2.7,1,58.6,118.37
2,4.7,3.4,0,69.3,118.58
2,4.6,4.2,1,68.3,122.36
2,4.8,3.8,1,85.4,131.0
4,3.4,2.0,0,64.7,126.71
3,1.1,2.9,1,67.5,125.0
2,1.4,2.0,0,58.7,118.43
3,4.9,4.7,1,92.6,136.51
4,1.9,4.0,1,78.9,131.38
4,1.0,1.4,0,38.8,119.26
5,4.2,3.9,0,80.0,126.49
3,4.3,4.3,0,76.3,130.16
3,4.0,4.5,0,45.3,122.14
5,4.0,3.4,0,76.5,126.9
3,2.2,3.0,1,43.0,115.43
2,3.9,4.6,1,77.9,126.47
4,3.9,3.9,1,90.7,130.94
3,3.3,4.2,0,90.4,131.97
4,4.3,4.7,0,51.2,120.4
2,2.2,1.9,0,50.2,120.08
2,2.6,3.7,0,67.4,122.61
1,4.1,4.6,1,63.7,121.11
3,4.1,3.6,1,88.8,132.29
3,1.1,3.5,1,77.3,125.75
4,1.4,2.3,0,45.6,119.12
3,4.4,4.9,1,68.1,125.42
3,3.8,2.6,0,62.2,123.27
5,3.9,4.9,1,81.8,123.71
4,1.4,3.2,0,65.1,123.24
2,3.1,3.3,1,85.7,128.91
2,3.4,3.7,1,84.6,130.28
2,4.0,4.0,1,77.1,129.17
2,4.9,4.1,1,95.4,134.21
3,4.3,5.0,0,75.0,128.14
5,3.2,2.8,1,55.9,121.17
5,1.5,1.9,0,53.4,117.12
5,4.6,3.8,0,73.4,123.96
3,4.0,3.8,1,90.8,132.95
1,2.8,4.9,0,82.1,124.57
4,4.8,1.8,0,75.1,127.19
4,3.9,2.8,0,37.1,114.46
3,4.8,4.6,0,90.0,131.89
3,4.3,4.9,0,75.1,125.76
5,3.2,3.5,0,70.9,124.95
2,4.6,3.5,0,90.8,133.57
5,3.1,3.2,1,85.6,128.26
3,4.0,3.8,1,82.1,133.48
2,4.6,4.8,0,95.3,134.86
2,4.0,2.5,0,80.3,130.41
2,1.9,4.5,0,69.0,121.39
2,4.9,5.0,1,94.8,131.57
1,4.7,3.0,0,67.2,125.38
2,4.8,4.9,1,95.2,131.51
2,1.8,3.6,0,68.1,120.31
3,4.5,3.8,0,76.3,123.96
3,3.0,2.9,1,65.7,117.8
3,4.6,3.8,1,73.0,130.31
4,4.7,5.0,0,83.7,124.44
5,1.9,1.9,1,49.7,119.68
3,1.3,2.2,1,56.5,122.5
4,4.8,4.5,1,82.2,125.38
5,3.7,3.2,0,48.8,117.2
1,2.8,3.6,1,86.9,130.01
5,1.8,2.9,1,77.2,128.45
1,4.7,4.5,1,91.5,133.72
3,5.0,4.6,1,57.2,119.69
4,2.6,4.1,1,82.3,124.94
4,1.1,3.1,1,68.0,122.86
2,2.4,3.6,0,72.5,125.34
1,3.5,2.7,1,62.3,119.93
3,3.7,4.0,0,82.0,128.06
3,2.8,3.8,1,79.7,123.15
4,4.7,5.0,1,88.8,130.38
3,1.9,3.9,1,62.2,123.59
3,4.9,3.8,1,79.6,126.93
1,1.6,3.0,0,43.0,118.28
5,1.9,1.7,0,47.2,116.5
3,2.8,1.8,1,56.9,116.25
3,3.0,1.6,0,58.7,124.3
3,1.9,3.0,0,56.1,119.57
2,3.8,4.1,0,46.0,119.23
2,4.1,4.3,1,87.8,128.53
3,3.3,4.3,0,42.0,117.78
5,4.6,4.3,1,74.1,127.23
3,1.5,4.3,1,64.1,121.26
4,4.9,3.9,0,86.9,135.85
2,4.9,3.9,1,77.4,129.97
3,4.2,4.3,0,88.1,130.37
3,4.4,3.1,0,72.0,127.82
2,2.4,4.0,0,74.8,123.62
3,4.2,4.7,1,88.3,133.28
5,5.0,4.3,1,81.7,122.81
3,3.2,1.7,0,76.4,127.72
5,3.4,3.0,0,70.5,123.83
5,3.5,4.7,1,81.1,123.98
3,3.5,4.1,1,60.7,120.61
2,2.3,1.4,0,37.7,119.33
1,2.9,2.8,0,70.0,119.46
2,3.8,3.9,1,69.0,125.02
3,4.3,4.6,0,90.3,128.7
3,1.0,2.4,1,74.2,130.4
3,4.7,2.1,1,81.1,124.41
2,1.6,1.5,0,50.0,120.93
1,2.2,4.6,0,54.3,115.94
3,2.4,1.4,0,59.8,123.54
4,2.2,2.6,1,69.4,128.99
4,2.7,2.1,1,70.4,126.86
2,2.5,3.5,0,66.9,120.71
3,1.7,2.6,0,62.1,123.68
2,4.0,3.6,1,51.6,116.95
2,1.4,1.5,0,54.4,118.1
5,2.1,1.7,0,61.2,122.69
3,3.8,4.4,1,58.0,122.39
4,2.0,1.9,1,81.1,127.61
5,2.1,1.5,0,51.9,120.95
3,4.4,3.8,1,69.7,120.86
3,3.8,4.5,0,70.4,127.43
4,4.9,3.1,1,79.7,127.67
2,3.1,4.0,0,51.5,125.95
2,5.0,4.9,1,91.3,136.46
2,4.4,4.9,1,85.6,133.26
3,1.0,2.8,1,69.1,121.91
2,3.3,3.6,1,84.8,131.18
5,4.1,3.0,0,85.4,128.89
3,3.6,3.4,0,77.4,126.3
2,1.0,2.2,0,47.9,119.89
5,3.6,2.9,1,73.2,125.54
5,5.0,5.0,1,95.8,136.36
5,1.9,3.5,0,65.4,122.9
2,4.8,3.8,1,68.8,127.44
2,1.0,1.5,1,42.8,116.14
3,4.9,4.9,1,85.2,126.34
1,4.4,3.6,1,91.6,129.01
3,4.8,4.4,0,81.4,130.77
2,4.1,2.2,1,69.4,122.37
3,2.9,4.5,1,84.7,129.14
3,3.2,1.8,0,57.2,121.15
2,4.7,4.7,1,94.3,133.51
3,2.7,3.8,1,83.8,131.23
5,2.8,3.9,1,77.2,126.48
5,3.2,2.4,0,46.2,120.59
5,2.0,3.6,0,76.2,121.13
3,5.0,4.5,1,88.2,130.06
2,2.7,1.8,1,64.3,119.54
1,4.3,2.5,0,71.6,123.8
3,4.5,3.8,1,77.9,122.56
4,2.6,4.4,0,62.5,121.72
3,4.0,3.5,0,81.7,132.81
2,4.9,4.7,1,88.9,126.32
1,3.1,4.1,1,65.4,120.64
5,3.5,3.2,0,59.1,121.44
2,4.1,4.6,0,92.1,134.17
1,3.8,4.8,1,71.9,121.63
5,3.4,4.5,0,87.6,131.23
1,3.7,2.3,1,62.5,120.64
2,2.0,1.4,0,46.6,118.27
4,2.0,2.1,0,65.2,121.6
3,4.8,4.7,0,88.0,131.42
2,2.6,3.5,1,80.8,127.6
2,1.3,2.1,1,59.3,122.96
4,2.5,3.9,1,66.0,123.95
2,2.4,2.8,1,67.4,123.28
2,4.7,4.4,1,93.4,133.56
4,1.2,2.1,0,62.0,122.94
2,4.0,3.6,0,71.5,127.26
2,3.7,4.8,0,61.7,118.77
2,4.6,4.9,1,93.5,132.34
2,3.8,3.4,0,66.0,120.41
1,4.2,4.7,1,75.2,123.54
5,3.7,2.5,1,72.4,121.75
5,3.6,2.8,1,83.2,126.62
1,3.5,2.8,0,56.9,120.89
5,3.4,4.5,1,66.2,123.63
2,1.7,3.1,1,74.2,126.27
2,2.5,2.6,0,70.3,122.38
4,4.1,3.1,0,87.8,129.58
2,4.9,3.8,0,73.6,123.0
3,4.9,4.8,1,89.2,133.29
5,5.0,5.0,1,95.0,131.62
2,5.0,4.9,1,94.7,134.28
3,4.0,3.8,1,74.7,127.93
2,4.9,4.2,1,74.4,120.85
2,2.7,2.7,1,87.0,130.83
5,4.4,3.3,0,55.3,119.45
2,5.0,3.7,0,76.8,127.24
3,4.9,4.9,1,93.2,131.68
4,1.0,1.4,0,58.2,125.85
2,2.3,3.6,1,86.4,134.04
5,1.8,1.6,1,53.3,117.19
2,3.4,4.1,0,51.0,118.38
3,2.8,2.2,0,46.6,115.75
3,5.0,4.9,1,95.7,135.14
3,2.9,1.8,0,70.1,120.35
3,3.9,3.4,1,89.0,133.8
4,3.4,4.4,1,78.2,122.26
4,3.9,4.3,1,89.1,133.53
4,3.0,4.1,1,86.5,132.4
1,3.1,2.9,1,70.0,128.01
2,1.2,1.7,0,48.0,116.54
3,3.6,2.0,0,70.8,124.5
3,1.4,1.9,0,80.6,128.15
4,4.3,3.8,1,84.1,128.2
3,2.5,2.8,0,56.8,119.61
4,2.7,1.5,1,56.0,125.17
3,4.7,3.8,1,86.6,129.09
3,3.7,4.0,1,70.1,126.84
1,3.9,4.6,0,82.5,124.53
5,4.1,4.8,1,90.8,131.39
5,3.3,2.6,1,58.9,121.56
1,2.1,3.5,0,56.4,121.34
2,2.6,1.5,0,51.1,119.42
3,5.0,5.0,1,90.4,133.69
4,2.7,2.6,1,57.9,123.06
2,2.1,2.9,1,56.5,125.31
4,1.4,2.5,1,56.8,124.84
4,4.9,4.9,1,77.3,129.69
2,4.2,4.8,1,91.4,133.17
3,4.9,4.6,0,73.0,124.25
2,2.9,4.2,0,45.9,123.04
3,4.3,4.4,1,77.5,126.09
3,1.6,2.1,0,38.2,117.01
4,2.9,3.9,1,82.7,130.28
2,3.1,2.3,0,39.3,114.67
2,4.7,4.5,1,88.3,127.34
5,2.0,1.6,0,40.5,115.59
2,1.7,2.0,1,75.0,129.12
3,4.7,3.3,0,71.0,131.11
5,1.3,1.7,0,52.8,119.68
5,3.6,4.0,1,80.0,129.16
5,4.0,2.3,0,49.1,123.49
1,1.9,1.9,1,46.3,119.14
2,2.7,3.0,1,90.4,128.59
3,4.3,3.9,1,77.4,129.77
4,3.1,2.7,1,69.8,125.96
1,2.7,3.0,1,64.3,121.15
5,3.9,4.5,1,94.5,135.25
2,2.3,3.9,0,72.7,123.97
2,3.8,3.4,1,76.7,124.36
3,1.4,1.5,0,47.5,116.74
3,1.6,2.0,0,46.1,117.88
5,2.4,1.5,0,70.8,126.22
4,3.4,4.3,1,87.1,130.49
3,5.0,4.6,1,95.2,132.63
1,4.4,3.4,1,94.8,132.25
2,4.4,5.0,0,94.7,131.81
3,4.3,4.5,1,91.1,132.97
5,5.0,4.2,0,92.3,133.31
5,2.3,2.3,0,69.6,123.31
2,3.7,4.8,0,76.5,124.29
5,3.3,2.6,1,71.1,123.79
2,4.2,3.6,0,69.7,126.67
2,2.2,1.5,1,56.6,116.62
4,1.2,2.6,0,52.7,119.95
4,2.8,4.0,1,58.1,118.65
2,5.0,4.8,0,81.6,130.68
3,3.4,3.5,1,67.3,122.65
3,3.6,2.2,1,79.3,127.54
2,4.5,2.6,1,89.1,131.49
1,4.4,2.4,0,73.2,129.11
4,4.8,3.1,0,62.7,126.27
4,3.2,2.3,1,74.5,123.89
5,3.9,3.8,0,83.3,123.52
3,5.0,4.7,0,80.2,124.72
2,4.9,4.1,0,75.1,125.37
4,4.9,3.9,1,88.1,134.97
5,4.7,4.6,1,78.2,129.04
5,2.7,2.9,0,49.1,119.87
3,3.6,2.4,0,68.8,125.36
5,4.0,4.9,0,80.1,123.16
1,1.2,1.8,1,52.0,122.2
2,2.8,2.2,1,69.0,128.15
2,2.5,1.7,0,45.2,114.64
4,4.9,3.8,1,92.2,134.46
5,4.1,4.7,0,41.5,118.02
2,1.2,1.8,1,57.3,121.46
2,2.1,2.9,1,85.9,121.4
4,4.6,3.3,0,65.5,127.98
3,1.2,1.9,0,43.3,115.22
3,3.8,2.8,1,77.5,130.52
4,4.0,3.4,1,63.0,119.48
2,3.5,2.0,1,76.7,131.03
5,3.9,3.6,1,90.2,130.48
3,4.0,4.8,1,81.4,131.71
3,4.1,5.0,1,89.2,131.74
1,3.0,3.1,0,70.5,126.75
2,2.9,3.9,1,73.0,127.47
2,4.4,3.6,1,70.0,122.22
5,1.6,3.9,1,75.9,129.7
2,4.7,5.0,0,96.9,133.78
2,3.9,4.0,0,82.5,121.97
3,2.1,2.9,0,76.9,124.42
2,4.4,3.6,0,92.8,125.97
2,4.0,3.0,1,71.7,124.14
3,4.8,4.8,1,96.5,136.66
2,2.0,1.6,0,54.6,118.42
4,2.7,2.4,1,82.2,130.72
2,3.6,4.2,1,65.0,126.94
4,1.7,1.7,1,74.2,125.45
2,3.7,2.0,1,77.6,126.69
2,2.0,3.1,0,58.4,123.37
4,3.0,3.5,1,85.8,135.83
1,4.4,3.1,0,74.7,120.46
5,1.4,1.7,0,42.4,118.09
3,1.0,3.2,0,53.9,121.35
4,4.3,3.4,0,65.9,122.65
3,2.7,3.6,0,78.9,123.83
5,3.0,3.5,1,83.6,129.57
1,2.4,2.4,1,74.6,127.03
4,2.5,3.6,0,78.4,129.21
5,3.4,2.8,0,76.0,124.01
3,1.7,1.7,1,61.9,119.7
3,2.0,1.5,1,71.3,127.09
2,2.7,2.3,0,36.2,113.56
5,4.0,2.8,0,68.4,125.85
5,4.2,3.6,0,73.4,121.61
5,4.6,3.8,1,88.1,129.99
2,3.9,2.8,1,72.2,128.66
3,4.0,4.5,0,74.1,127.35
