Temperature,Humidity,CO2,Occupancy,minute,hour,day
23.29,28.6,1116.0,1,32,15,2
23.27,28.6,1126.8,1,33,15,2
23.2,28.4175,1112.75,1,34,15,2
23.23,28.5,1104.5,1,35,15,2
23.29,28.5,1108.0,1,36,15,2
23.22,28.63333,1127.83,1,36,15,2
23.2,28.6,1128.75,1,38,15,2
23.2,28.65,1124.25,1,39,15,2
23.2,28.62,1130.4,1,40,15,2
23.2,28.7,1138.0,1,40,15,2
23.2,28.7,1144.0,1,42,15,2
23.2,28.718,1140.0,1,42,15,2
23.2,28.79,1139.25,1,43,15,2
23.2,28.79,1167.33,1,45,15,2
23.14,28.79,1159.6,1,46,15,2
23.15,28.89,1157.75,1,47,15,2
23.15,28.89,1159.5,1,48,15,2
23.18,28.83,1156.4,1,49,15,2
23.12,28.945,1160.0,1,49,15,2
23.14,28.956,1169.8,1,51,15,2
23.1,29.0,1176.17,1,52,15,2
23.1,29.075,1175.25,1,53,15,2
23.1,28.918,1166.6,1,53,15,2
23.1,27.925,1140.25,1,55,15,2
23.06,27.772,1089.2,1,55,15,2
23.02,27.556,1042.6,1,56,15,2
23.01,27.81883,1051.1,1,58,15,2
23.0,28.08167,1059.6,1,59,15,2
23.0,27.956,1064.6,1,0,16,2
22.98,27.90833,1061.67,1,1,16,2
23.0,27.92667,1058.33,1,1,16,2
23.0,28.018,1061.6,1,2,16,2
22.98,28.06667,1070.33,1,4,16,2
22.94,28.1,1074.0,1,5,16,2
23.0,28.1,1086.25,1,6,16,2
22.96,28.2,1089.6,1,7,16,2
22.97,28.1,1085.0,1,8,16,2
22.94,28.13333,1085.0,1,8,16,2
23.0,28.2,1088.0,1,9,16,2
22.94,28.2,1091.75,1,11,16,2
23.0,28.13333,1091.33,1,12,16,2
22.91,28.1,1088.2,1,13,16,2
22.89,28.1,1087.5,1,14,16,2
22.89,27.956,1079.2,1,14,16,2
22.86,27.84,1077.25,1,15,16,2
22.87,27.68333,1064.17,1,17,16,2
22.87,27.6,1056.4,1,18,16,2
22.89,27.6,1043.6,1,19,16,2
22.82,27.445,1039.5,1,20,16,2
22.84,27.37333,1028.67,1,21,16,2
22.79,27.365,1020.4,1,21,16,2
22.79,27.2,1018.0,1,23,16,2
22.79,27.17143,1015.14,1,24,16,2
22.79,27.06667,1006.33,1,25,16,2
22.79,27.02,1002.6,1,25,16,2
22.77,26.934,993.2,1,27,16,2
22.76,26.82333,983.33,1,27,16,2
22.7,26.754,976.2,1,28,16,2
22.72,26.7,980.75,1,30,16,2
22.7,26.68333,971.33,1,31,16,2
22.7,26.53333,966.67,1,32,16,2
22.7,26.46333,963.0,1,33,16,2
22.7,26.445,952.33,1,34,16,2
22.7,26.34,948.0,1,34,16,2
22.7,26.26,945.0,1,36,16,2
22.7,26.2,941.6,1,37,16,2
22.7,26.16,929.8,1,38,16,2
22.7,26.02,923.8,1,38,16,2
22.7,26.1,919.0,1,40,16,2
22.7,26.0,918.25,1,40,16,2
22.7,25.934,919.4,1,41,16,2
22.7,25.92667,927.33,1,43,16,2
22.7,25.815,920.25,1,44,16,2
22.68,25.772,902.4,1,45,16,2
22.64,25.696,904.4,1,46,16,2
22.6,25.575,897.0,1,46,16,2
22.67,25.6,892.0,1,47,16,2
22.6,25.525,882.5,1,49,16,2
22.62,25.476,887.2,1,50,16,2
22.62,25.55,889.25,1,51,16,2
22.6,25.39,889.2,1,52,16,2
22.65,25.42,880.75,1,53,16,2
22.6,25.2675,868.75,1,53,16,2
22.6,25.218,861.0,1,54,16,2
22.6,25.2,860.6,1,56,16,2
22.6,25.2,864.0,1,57,16,2
22.6,25.15,859.0,1,58,16,2
22.6,25.14,854.4,1,59,16,2
22.6,25.15,847.4,1,59,16,2
22.6,25.04,837.2,1,0,17,2
22.6,25.05,834.75,1,2,17,2
22.6,25.06,832.4,1,3,17,2
22.6,25.0,832.0,1,4,17,2
22.6,25.0,836.25,1,5,17,2
22.6,25.0,832.6,1,6,17,2
22.6,25.025,821.5,1,6,17,2
22.6,25.1,832.4,1,8,17,2
22.6,25.08,832.4,1,9,17,2
22.56,25.02,830.75,1,10,17,2
22.58,25.08,821.5,1,10,17,2
22.58,25.075,818.25,1,12,17,2
22.56,24.912,819.8,1,12,17,2
22.55,25.2,822.5,1,13,17,2
22.6,24.9175,818.0,1,15,17,2
22.58,25.06,812.8,1,16,17,2
22.57,24.90833,816.5,1,17,17,2
22.52,24.945,822.25,1,18,17,2
22.54,24.89,825.0,1,19,17,2
22.5,24.865,816.5,1,19,17,2
22.5,24.9175,811.5,1,21,17,2
22.5,24.91167,811.0,1,22,17,2
22.56,24.81,812.2,1,23,17,2
22.52,24.89,814.25,1,23,17,2
22.52,24.976,824.0,1,25,17,2
22.58,25.075,834.5,1,25,17,2
22.6,25.0,837.0,1,26,17,2
22.6,25.02143,841.17,1,28,17,2
22.6,25.04286,845.33,1,29,17,2
22.6,25.1,854.75,1,30,17,2
22.6,25.1,850.33,1,31,17,2
22.6,25.08,845.4,1,31,17,2
22.6,25.16667,854.33,1,32,17,2
22.6,25.06667,849.33,0,34,17,2
22.6,25.2,853.0,0,35,17,2
22.6,25.2,853.0,0,36,17,2
22.54,25.16,852.0,0,37,17,2
22.54,25.16,853.6,0,38,17,2
22.54,25.14,845.6,0,38,17,2
22.52,25.1,834.25,0,39,17,2
22.5,25.04,826.4,0,41,17,2
22.5,25.0,819.6,0,42,17,2
22.5,25.0,829.6,0,43,17,2
22.5,25.0,824.0,0,44,17,2
22.5,24.912,814.2,0,44,17,2
22.5,24.89,813.5,0,45,17,2
22.5,24.89,813.8,0,47,17,2
22.5,24.89,811.0,0,48,17,2
22.48,24.87,804.6,0,49,17,2
22.46,24.83,807.8,0,50,17,2
22.5,24.85667,802.33,0,51,17,2
22.42,24.7475,796.75,0,51,17,2
22.46,24.81,794.4,0,53,17,2
22.39,24.7,790.6,0,54,17,2
22.42,24.7225,789.75,0,55,17,2
22.39,24.7,782.2,0,55,17,2
22.39,24.7225,772.25,1,57,17,2
22.39,24.71708,772.92,1,57,17,2
22.39,24.71167,773.6,1,58,17,2
22.39,24.625,773.75,1,0,18,2
22.39,24.754,771.8,1,1,18,2
22.39,24.912,782.8,1,2,18,2
22.39,25.245,796.5,1,3,18,2
22.39,25.0925,809.0,1,4,18,2
22.39,25.0,805.5,0,4,18,2
22.35,24.978,791.4,0,6,18,2
22.32,25.0,779.33,0,7,18,2
22.36,24.9725,780.75,0,8,18,2
22.32,24.89,781.75,0,8,18,2
22.29,24.9175,781.0,0,10,18,2
22.29,24.912,778.4,0,10,18,2
22.26,24.85667,769.33,0,11,18,2
22.25,24.85,766.5,0,13,18,2
22.23,24.79333,763.25,0,14,18,2
22.26,24.82333,762.33,0,15,18,2
22.2,24.79,761.5,0,16,18,2
22.2,24.79,761.0,0,16,18,2
22.2,24.736,757.0,0,17,18,2
22.2,24.79,752.33,0,19,18,2
22.13,24.7,748.67,0,20,18,2
22.1,24.7,746.25,0,21,18,2
22.15,24.7225,745.25,0,22,18,2
22.1,24.7,740.67,0,23,18,2
22.1,24.7,738.0,0,23,18,2
22.13,24.7,732.67,0,24,18,2
22.1,24.7,727.0,0,26,18,2
22.1,24.675,716.0,0,27,18,2
22.07,24.66667,723.25,0,28,18,2
22.07,24.66667,718.33,0,29,18,2
22.0,24.58,716.6,0,29,18,2
21.98,24.6,714.0,0,30,18,2
21.98,24.56,714.2,0,32,18,2
21.94,24.6,715.0,0,33,18,2
21.93,24.5,706.67,0,34,18,2
21.89,24.5,706.0,0,35,18,2
21.89,24.525,698.75,0,36,18,2
21.89,24.5,692.5,0,36,18,2
21.89,24.5,694.75,0,38,18,2
21.82,24.4175,697.25,0,39,18,2
21.82,24.46333,692.0,0,40,18,2
21.79,24.39,691.0,0,40,18,2
21.79,24.39,689.75,0,42,18,2
21.79,24.39,689.0,0,42,18,2
21.77,24.39,687.0,0,43,18,2
21.77,24.365,679.75,0,45,18,2
21.75,24.35,668.4,0,46,18,2
21.7,24.29,665.67,0,47,18,2
21.7,24.29,664.75,0,48,18,2
21.7,24.29,668.0,0,49,18,2
21.7,24.29,661.25,0,49,18,2
21.64,24.236,658.2,0,51,18,2
21.6,24.2,656.0,0,52,18,2
21.6,24.2,654.8,0,53,18,2
21.6,24.2225,653.75,0,53,18,2
21.5,24.26,650.33,0,55,18,2
21.5,24.2,650.75,0,55,18,2
21.55,24.2,648.25,0,56,18,2
21.5,24.2,640.33,0,58,18,2
21.5,24.2,638.0,0,59,18,2
21.5,24.2,636.25,0,0,19,2
21.5,24.2,636.33,0,1,19,2
21.5,24.15,635.75,0,1,19,2
21.5,24.175,635.5,0,2,19,2
21.5,24.125,627.5,0,4,19,2
21.5,24.15,626.25,0,5,19,2
21.5,24.125,621.5,0,6,19,2
21.5,24.1,621.75,0,7,19,2
21.5,24.1,620.67,0,8,19,2
21.5,24.1,617.0,0,8,19,2
21.5,24.1,612.75,0,9,19,2
21.47,24.075,614.5,0,11,19,2
21.39,24.0,617.33,0,12,19,2
21.43,23.92667,614.25,0,13,19,2
21.39,23.9725,610.75,0,14,19,2
21.39,23.9175,603.0,0,14,19,2
21.39,23.945,603.5,0,15,19,2
21.36,23.89,602.0,0,17,19,2
21.32,24.0,605.67,0,18,19,2
21.34,23.9725,604.5,0,19,19,2
21.32,23.9725,599.0,0,20,19,2
21.36,24.0,600.0,0,21,19,2
21.39,23.9725,596.5,0,21,19,2
21.32,23.89,597.5,0,23,19,2
21.29,23.945,594.0,0,24,19,2
21.29,23.9725,590.5,0,25,19,2
21.29,23.89,586.67,0,25,19,2
21.29,23.92667,588.0,0,27,19,2
21.29,23.89,585.5,0,27,19,2
21.29,23.89,584.5,0,28,19,2
21.25,23.85,587.2,0,30,19,2
21.23,23.82333,585.0,0,31,19,2
21.22,23.81,579.4,0,32,19,2
21.2,23.79,579.33,0,33,19,2
21.2,23.79,581.6,0,34,19,2
21.2,23.79,581.67,0,34,19,2
21.2,23.79,577.5,0,36,19,2
21.2,23.79,577.33,0,37,19,2
21.2,23.7675,574.25,0,38,19,2
21.2,23.745,569.0,0,38,19,2
21.2,23.76,565.33,0,40,19,2
21.2,23.7,561.4,0,40,19,2
21.2,23.79,567.33,0,41,19,2
21.18,23.7,565.33,0,43,19,2
21.17,23.7,563.5,0,44,19,2
21.12,23.675,559.0,0,45,19,2
21.1,23.65,559.5,0,46,19,2
21.12,23.65,550.5,0,46,19,2
21.1,23.6,553.0,0,47,19,2
21.13,23.6,552.0,0,49,19,2
21.1,23.6,553.25,0,50,19,2
21.1,23.6,545.75,0,51,19,2
21.1,23.6,548.0,0,52,19,2
21.1,23.6,547.0,0,53,19,2
21.1,23.575,545.75,0,53,19,2
21.1,23.53333,544.0,0,54,19,2
21.1,23.4725,545.5,0,56,19,2
21.1,23.4725,547.0,0,57,19,2
21.1,23.5,545.25,0,58,19,2
21.1,23.5,541.25,0,59,19,2
21.12,23.5,540.75,0,59,19,2
21.1,23.5,533.33,0,0,20,2
21.13,23.5,528.0,0,2,20,2
21.1,23.3925,537.75,0,3,20,2
21.1,23.4725,539.5,0,4,20,2
21.1,23.5,535.25,0,5,20,2
21.1,23.5,537.25,0,6,20,2
21.1,23.5,535.25,0,6,20,2
21.1,23.5,533.4,0,8,20,2
21.1,23.5,524.5,0,9,20,2
21.1,23.434,524.8,0,10,20,2
21.1,23.39,522.67,0,10,20,2
21.1,23.39,521.0,0,12,20,2
21.12,23.39,519.75,0,12,20,2
21.1,23.39,523.0,0,13,20,2
21.1,23.39,523.0,0,15,20,2
21.1,23.39,519.0,0,16,20,2
21.1,23.365,519.5,0,17,20,2
21.1,23.39,519.75,0,18,20,2
21.1,23.365,520.0,0,19,20,2
21.1,23.33,524.6,0,19,20,2
21.08,23.315,520.25,0,21,20,2
21.08,23.34,519.0,0,22,20,2
21.1,23.29,523.2,0,23,20,2
21.03,23.29,517.67,0,23,20,2
21.02,23.29,514.2,0,25,20,2
21.02,23.29,516.5,0,25,20,2
21.0,23.29,521.0,0,26,20,2
21.0,23.29,520.0,0,28,20,2
21.0,23.254,517.8,0,29,20,2
21.0,23.26,514.33,0,30,20,2
21.0,23.2675,516.75,0,31,20,2
21.0,23.29,520.75,0,31,20,2
21.0,23.29,519.33,0,32,20,2
21.0,23.29,519.0,0,34,20,2
21.0,23.29,509.75,0,35,20,2
21.0,23.29,508.5,0,36,20,2
20.97,23.29,504.5,0,37,20,2
21.0,23.29,506.5,0,38,20,2
20.97,23.29,509.0,0,38,20,2
20.96,23.29,507.25,0,39,20,2
21.0,23.29,509.33,0,41,20,2
20.89,23.2,509.67,0,42,20,2
20.89,23.245,508.25,0,43,20,2
20.89,23.2225,510.25,0,44,20,2
20.89,23.254,504.0,0,44,20,2
20.89,23.26,499.33,0,45,20,2
20.89,23.2225,495.0,0,47,20,2
20.89,23.2,496.25,0,48,20,2
20.89,23.2,494.75,0,49,20,2
20.89,23.2,492.5,0,50,20,2
20.89,23.2,494.25,0,51,20,2
20.89,23.2,492.33,0,51,20,2
20.89,23.125,493.75,0,53,20,2
20.89,23.125,484.75,0,54,20,2
20.89,23.1,489.25,0,55,20,2
20.89,23.1,494.5,0,55,20,2
20.89,23.1,495.67,0,57,20,2
20.89,23.1,501.5,0,57,20,2
20.89,23.1,499.67,0,58,20,2
20.89,23.1,492.5,0,0,21,2
20.89,23.1,494.25,0,1,21,2
20.89,23.1,494.0,0,2,21,2
20.97,23.1,489.25,0,3,21,2
20.92,23.1,490.0,0,4,21,2
20.89,23.1,495.5,0,4,21,2
20.89,23.05,498.0,0,6,21,2
20.89,23.05,495.0,0,7,21,2
20.91,23.0,490.2,0,8,21,2
20.93,23.0,492.33,0,8,21,2
20.89,23.0,491.67,0,10,21,2
20.89,22.956,488.0,0,10,21,2
20.93,22.934,488.0,0,11,21,2
20.89,23.0,485.0,0,13,21,2
20.89,23.0,490.0,0,14,21,2
20.92,22.9725,489.5,0,15,21,2
20.89,22.945,485.25,0,16,21,2
20.89,22.89,485.67,0,16,21,2
20.92,22.945,485.0,0,17,21,2
20.89,22.956,485.2,0,19,21,2
20.94,22.89,484.0,0,20,21,2
20.89,22.9175,483.0,0,21,21,2
20.89,22.89,481.0,0,22,21,2
20.89,22.89,476.5,0,23,21,2
20.89,22.89,475.0,0,23,21,2
20.89,22.89,476.0,0,24,21,2
20.89,22.89,478.5,0,26,21,2
20.89,22.89,481.0,0,27,21,2
20.89,22.89,483.0,0,28,21,2
20.86,22.85667,480.25,0,29,21,2
20.89,22.89,480.25,0,29,21,2
20.89,22.865,470.75,0,30,21,2
20.89,22.89,474.75,0,32,21,2
20.89,22.865,482.25,0,33,21,2
20.89,22.89,480.33,0,34,21,2
20.89,22.89,480.0,0,35,21,2
20.89,22.84,481.5,0,36,21,2
20.89,22.84,483.5,0,36,21,2
20.89,22.79,475.6,0,38,21,2
20.89,22.76,475.33,0,39,21,2
20.89,22.815,477.67,0,40,21,2
20.89,22.79,475.75,0,40,21,2
20.89,22.79,479.17,0,42,21,2
20.86,22.7675,475.0,0,42,21,2
20.86,22.7675,474.0,0,43,21,2
20.89,22.79,477.33,0,45,21,2
20.89,22.79,473.0,0,46,21,2
20.89,22.7675,470.0,0,47,21,2
20.86,22.675,468.75,0,48,21,2
20.87,22.718,471.4,0,49,21,2
20.89,22.7,471.0,0,49,21,2
20.89,22.7,468.0,0,51,21,2
20.85,22.678,468.6,0,52,21,2
20.81,22.62,467.4,0,53,21,2
20.79,22.6,469.0,0,53,21,2
20.79,22.65,471.25,0,55,21,2
20.82,22.73,470.67,0,55,21,2
20.79,22.6,466.75,0,56,21,2
20.79,22.64,466.8,0,58,21,2
20.79,22.7,468.75,0,59,21,2
20.79,22.65,467.5,0,0,22,2
20.79,22.63333,469.67,0,1,22,2
20.79,22.7,469.75,0,1,22,2
20.79,22.6,469.75,0,2,22,2
20.79,22.6,467.25,0,4,22,2
20.77,22.6,461.4,0,5,22,2
20.79,22.6,469.25,0,6,22,2
20.79,22.625,468.0,0,7,22,2
20.73,22.6,469.0,0,8,22,2
20.79,22.6,467.25,0,8,22,2
20.79,22.6,467.4,0,9,22,2
20.79,22.6,467.67,0,11,22,2
20.74,22.6,471.5,0,12,22,2
20.76,22.6,471.67,0,13,22,2
20.72,22.6,464.75,0,14,22,2
20.72,22.6,461.75,0,14,22,2
20.72,22.6,458.5,0,15,22,2
20.74,22.55,459.5,0,17,22,2
20.72,22.55,460.5,0,18,22,2
20.76,22.56667,465.33,0,19,22,2
20.72,22.5,465.0,0,20,22,2
20.72,22.5,459.0,0,21,22,2
20.77,22.5,463.0,0,21,22,2
20.74,22.5,460.75,0,23,22,2
20.7,22.5,461.5,0,24,22,2
20.7,22.5,466.0,0,25,22,2
20.77,22.5,460.25,0,25,22,2
20.72,22.52,457.4,0,27,22,2
20.7,22.5,464.6,0,27,22,2
20.73,22.5,464.33,0,28,22,2
20.7,22.5,459.33,0,30,22,2
20.7,22.5,459.75,0,31,22,2
20.72,22.5,459.25,0,32,22,2
20.7,22.5,463.0,0,33,22,2
20.72,22.445,461.5,0,34,22,2
20.7,22.5,454.5,0,34,22,2
20.7,22.5,458.33,0,36,22,2
20.72,22.5,463.0,0,37,22,2
20.7,22.5,463.75,0,38,22,2
20.7,22.456,460.6,0,38,22,2
20.7,22.5,455.25,0,40,22,2
20.7,22.5,455.67,0,40,22,2
20.7,22.5,456.25,0,41,22,2
20.7,22.42667,459.67,0,43,22,2
20.7,22.5,462.0,0,44,22,2
20.72,22.4725,460.25,0,45,22,2
20.72,22.434,462.0,0,46,22,2
20.73,22.39,461.0,0,46,22,2
20.7,22.39,461.67,0,47,22,2
20.74,22.39,460.25,0,49,22,2
20.72,22.365,456.25,0,50,22,2
20.74,22.39,457.5,0,51,22,2
20.77,22.37,455.8,0,52,22,2
20.76,22.39,455.0,0,53,22,2
20.77,22.365,451.25,0,53,22,2
20.74,22.39,453.75,0,54,22,2
20.74,22.39,456.2,0,56,22,2
20.73,22.35667,453.67,0,57,22,2
20.7,22.34,452.75,0,58,22,2
20.76,22.35667,454.0,0,59,22,2
20.74,22.39,452.5,0,59,22,2
20.73,22.39,456.0,0,0,23,2
20.74,22.34,451.5,0,2,23,2
20.7,22.37,449.8,0,3,23,2
20.7,22.365,449.25,0,4,23,2
20.7,22.365,452.25,0,5,23,2
20.72,22.34,451.25,0,6,23,2
20.7,22.34,453.0,0,6,23,2
20.7,22.39,453.25,0,8,23,2
20.7,22.315,456.67,0,9,23,2
20.7,22.29,455.75,0,10,23,2
20.7,22.365,458.0,0,10,23,2
20.7,22.34,458.75,0,12,23,2
20.7,22.29,455.5,0,12,23,2
20.7,22.29,455.0,0,13,23,2
20.7,22.29,453.33,0,15,23,2
20.7,22.33,454.6,0,16,23,2
20.7,22.29,457.5,0,17,23,2
20.7,22.29,449.67,0,18,23,2
20.7,22.29,452.0,0,19,23,2
20.7,22.29,453.5,0,19,23,2
20.7,22.29,452.0,0,21,23,2
20.7,22.29,450.6,0,22,23,2
20.7,22.29,450.67,0,23,23,2
20.7,22.29,451.0,0,23,23,2
20.7,22.29,454.5,0,25,23,2
20.7,22.29,457.25,0,25,23,2
20.7,22.315,456.0,0,26,23,2
20.68,22.29,456.5,0,28,23,2
20.68,22.29,453.5,0,29,23,2
20.7,22.29,454.25,0,30,23,2
20.68,22.22,454.0,0,31,23,2
20.68,22.2675,451.0,0,31,23,2
20.67,22.26,450.25,0,32,23,2
20.62,22.2225,449.75,0,34,23,2
20.68,22.2675,452.0,0,35,23,2
20.65,22.245,452.5,0,36,23,2
20.64,22.236,454.0,0,37,23,2
20.63,22.26,453.0,0,38,23,2
20.7,22.29,454.0,0,38,23,2
20.68,22.2675,450.0,0,39,23,2
20.62,22.245,451.75,0,41,23,2
20.68,22.2675,450.25,0,42,23,2
20.62,22.2225,445.0,0,43,23,2
20.65,22.2675,446.25,0,44,23,2
20.67,22.26,450.67,0,44,23,2
20.64,22.236,453.6,0,45,23,2
20.63,22.23,450.33,0,47,23,2
20.65,22.245,445.5,0,48,23,2
20.65,22.245,443.0,0,49,23,2
20.65,22.245,449.25,0,50,23,2
20.63,22.23,454.67,0,51,23,2
20.65,22.245,449.0,0,51,23,2
20.62,22.2225,448.5,0,53,23,2
20.6,22.2,449.6,0,54,23,2
20.6,22.2,454.0,0,55,23,2
20.6,22.2225,451.25,0,55,23,2
20.6,22.2,449.33,0,57,23,2
20.6,22.2,446.0,0,57,23,2
20.6,22.2225,445.75,0,58,23,2
20.6,22.2,451.5,0,0,0,3
20.6,22.2,455.25,0,1,0,3
20.6,22.2,455.25,0,2,0,3
20.63,22.23,451.67,0,3,0,3
20.6,22.2,451.0,0,4,0,3
20.6,22.2,448.75,0,4,0,3
20.6,22.2,445.75,0,6,0,3
20.6,22.2,444.75,0,7,0,3
20.6,22.2,446.33,0,8,0,3
20.6,22.2,450.0,0,8,0,3
20.58,22.2225,446.5,0,10,0,3
20.6,22.2225,446.5,0,10,0,3
20.58,22.2675,447.75,0,11,0,3
20.58,22.254,449.6,0,13,0,3
20.6,22.23,451.67,0,14,0,3
20.6,22.26,450.0,0,15,0,3
20.6,22.2,449.25,0,16,0,3
20.58,22.2,449.75,0,16,0,3
20.55,22.2675,453.75,0,17,0,3
20.6,22.2,453.0,0,19,0,3
20.6,22.2,450.5,0,20,0,3
20.57,22.23,447.0,0,21,0,3
20.58,22.2675,443.75,0,22,0,3
20.6,22.2,444.25,0,23,0,3
20.6,22.2675,451.5,0,23,0,3
20.6,22.218,448.4,0,24,0,3
20.6,22.2,449.0,0,26,0,3
20.6,22.26,449.33,0,27,0,3
20.6,22.2,446.25,0,28,0,3
20.6,22.2,446.6,0,29,0,3
20.6,22.2,447.67,0,29,0,3
20.6,22.2,447.0,0,30,0,3
20.6,22.2,446.75,0,32,0,3
20.6,22.2,449.33,0,33,0,3
20.58,22.2,451.2,0,34,0,3
20.6,22.2,454.0,0,35,0,3
20.6,22.2,451.0,0,36,0,3
20.6,22.2,450.25,0,36,0,3
20.6,22.2225,450.0,0,38,0,3
20.6,22.2225,449.0,0,39,0,3
20.6,22.2,446.0,0,40,0,3
20.58,22.218,443.2,0,40,0,3
20.57,22.26,443.33,0,42,0,3
20.6,22.2,448.0,0,42,0,3
20.6,22.2675,454.0,0,43,0,3
20.6,22.29,451.5,0,45,0,3
20.6,22.29,451.33,0,46,0,3
20.55,22.29,447.0,0,47,0,3
20.55,22.29,448.5,0,48,0,3
20.52,22.2225,450.5,0,49,0,3
20.58,22.29,446.5,0,49,0,3
20.6,22.29,447.33,0,51,0,3
20.58,22.29,453.5,0,52,0,3
20.57,22.29,451.33,0,53,0,3
20.58,22.254,449.4,0,53,0,3
20.53,22.26,453.67,0,55,0,3
20.58,22.2,448.25,0,55,0,3
20.58,22.29,452.0,0,56,0,3
20.52,22.2675,452.67,0,58,0,3
20.6,22.2,454.67,0,59,0,3
20.6,22.254,453.2,0,0,1,3
20.56,22.29,447.6,0,1,1,3
20.6,22.29,447.67,0,1,1,3
20.55,22.29,448.0,0,2,1,3
20.55,22.29,451.0,0,4,1,3
20.6,22.29,451.0,0,5,1,3
20.52,22.2675,451.0,0,6,1,3
20.52,22.29,449.75,0,7,1,3
20.52,22.29,453.0,0,8,1,3
20.5,22.2675,453.5,0,8,1,3
20.5,22.29,452.33,0,9,1,3
20.52,22.29,452.0,0,11,1,3
20.6,22.26,450.67,0,12,1,3
20.5,22.2,449.5,0,13,1,3
20.6,22.2225,449.75,0,14,1,3
20.56,22.2,449.0,0,14,1,3
20.6,22.2,451.33,0,15,1,3
20.57,22.2,449.0,0,17,1,3
20.57,22.2,448.0,0,18,1,3
20.58,22.2,443.25,0,19,1,3
20.55,22.245,446.5,0,20,1,3
20.6,22.245,448.75,0,21,1,3
20.6,22.2225,451.0,0,21,1,3
20.6,22.2,451.5,0,23,1,3
20.57,22.2,455.0,0,24,1,3
20.6,22.2,451.6,0,25,1,3
20.6,22.2,452.67,0,25,1,3
20.6,22.14,448.2,0,27,1,3
20.6,22.125,445.75,0,27,1,3
20.6,22.1,446.67,0,28,1,3
20.6,22.1,446.33,0,30,1,3
20.6,22.125,444.75,0,31,1,3
20.6,22.1,444.5,0,32,1,3
20.58,22.14,446.0,0,33,1,3
20.57,22.13333,443.33,0,34,1,3
20.6,22.1,447.0,0,34,1,3
20.57,22.1,446.0,0,36,1,3
20.6,22.15,445.25,0,37,1,3
20.58,22.125,442.0,0,38,1,3
20.58,22.1,443.0,0,38,1,3
20.6,22.1,443.0,0,40,1,3
20.6,22.1,446.33,0,40,1,3
20.6,22.13333,449.0,0,41,1,3
20.6,22.125,445.25,0,43,1,3
20.6,22.1,441.25,0,44,1,3
