Temperature,Humidity,CO2,HumidityRatio,Occupancy,Hour,Minute,Day
23.39,28.32,1086.0,0.00504,1,15,19,2
23.37,28.44,1092.5,0.00506,1,15,20,2
23.39,28.5,1103.75,0.00508,1,15,21,2
23.32,28.5,1104.5,0.00505,1,15,22,2
23.36,28.5,1103.5,0.00507,1,15,23,2
23.29,28.5,1112.0,0.00504,1,15,23,2
23.31,28.53,1105.67,0.00506,1,15,24,2
23.29,28.7,1104.0,0.00508,1,15,26,2
23.29,28.7,1117.2,0.00508,1,15,27,2
23.29,28.68,1121.25,0.00508,1,15,28,2
23.29,28.62,1115.67,0.00507,1,15,29,2
23.29,28.66,1120.0,0.00507,1,15,29,2
23.29,28.55,1123.75,0.00505,1,15,30,2
23.29,28.6,1116.0,0.00506,1,15,32,2
23.27,28.6,1126.8,0.00506,1,15,33,2
23.2,28.42,1112.75,0.005,1,15,34,2
23.23,28.5,1104.5,0.00503,1,15,35,2
23.29,28.5,1108.0,0.00504,1,15,36,2
23.22,28.63,1127.83,0.00504,1,15,36,2
23.2,28.6,1128.75,0.00503,1,15,38,2
23.2,28.65,1124.25,0.00504,1,15,39,2
23.2,28.62,1130.4,0.00504,1,15,40,2
23.2,28.7,1138.0,0.00505,1,15,40,2
23.2,28.7,1144.0,0.00505,1,15,42,2
23.2,28.72,1140.0,0.00506,1,15,42,2
23.2,28.79,1139.25,0.00507,1,15,43,2
23.2,28.79,1167.33,0.00507,1,15,45,2
23.14,28.79,1159.6,0.00505,1,15,46,2
23.15,28.89,1157.75,0.00507,1,15,47,2
23.15,28.89,1159.5,0.00507,1,15,48,2
23.18,28.83,1156.4,0.00507,1,15,49,2
23.12,28.94,1160.0,0.00507,1,15,49,2
23.14,28.96,1169.8,0.00508,1,15,51,2
23.1,29.0,1176.17,0.00507,1,15,52,2
23.1,29.08,1175.25,0.00509,1,15,53,2
23.1,28.92,1166.6,0.00506,1,15,53,2
23.1,27.92,1140.25,0.00488,1,15,55,2
23.06,27.77,1089.2,0.00485,1,15,55,2
23.02,27.56,1042.6,0.0048,1,15,56,2
23.01,27.82,1051.1,0.00484,1,15,58,2
23.0,28.08,1059.6,0.00488,1,15,59,2
23.0,27.96,1064.6,0.00486,1,16,0,2
22.98,27.91,1061.67,0.00485,1,16,1,2
23.0,27.93,1058.33,0.00486,1,16,1,2
23.0,28.02,1061.6,0.00487,1,16,2,2
22.98,28.07,1070.33,0.00487,1,16,4,2
22.94,28.1,1074.0,0.00487,1,16,5,2
23.0,28.1,1086.25,0.00489,1,16,6,2
22.96,28.2,1089.6,0.00489,1,16,7,2
22.97,28.1,1085.0,0.00488,1,16,8,2
22.94,28.13,1085.0,0.00488,1,16,8,2
23.0,28.2,1088.0,0.0049,1,16,9,2
22.94,28.2,1091.75,0.00489,1,16,11,2
23.0,28.13,1091.33,0.00489,1,16,12,2
22.91,28.1,1088.2,0.00486,1,16,13,2
22.89,28.1,1087.5,0.00485,1,16,14,2
22.89,27.96,1079.2,0.00483,1,16,14,2
22.86,27.84,1077.25,0.0048,1,16,15,2
22.87,27.68,1064.17,0.00478,1,16,17,2
22.87,27.6,1056.4,0.00476,1,16,18,2
22.89,27.6,1043.6,0.00477,1,16,19,2
22.82,27.44,1039.5,0.00472,1,16,20,2
22.84,27.37,1028.67,0.00471,1,16,21,2
22.79,27.36,1020.4,0.0047,1,16,21,2
22.79,27.2,1018.0,0.00467,1,16,23,2
22.79,27.17,1015.14,0.00466,1,16,24,2
22.79,27.07,1006.33,0.00464,1,16,25,2
22.79,27.02,1002.6,0.00464,1,16,25,2
22.77,26.93,993.2,0.00462,1,16,27,2
22.76,26.82,983.33,0.00459,1,16,27,2
22.7,26.75,976.2,0.00457,1,16,28,2
22.72,26.7,980.75,0.00456,1,16,30,2
22.7,26.68,971.33,0.00455,1,16,31,2
22.7,26.53,966.67,0.00453,1,16,32,2
22.7,26.46,963.0,0.00452,1,16,33,2
22.7,26.44,952.33,0.00451,1,16,34,2
22.7,26.34,948.0,0.00449,1,16,34,2
22.7,26.26,945.0,0.00448,1,16,36,2
22.7,26.2,941.6,0.00447,1,16,37,2
22.7,26.16,929.8,0.00446,1,16,38,2
22.7,26.02,923.8,0.00444,1,16,38,2
22.7,26.1,919.0,0.00445,1,16,40,2
22.7,26.0,918.25,0.00444,1,16,40,2
22.7,25.93,919.4,0.00442,1,16,41,2
22.7,25.93,927.33,0.00442,1,16,43,2
22.7,25.82,920.25,0.0044,1,16,44,2
22.68,25.77,902.4,0.00439,1,16,45,2
22.64,25.7,904.4,0.00437,1,16,46,2
22.6,25.58,897.0,0.00434,1,16,46,2
22.67,25.6,892.0,0.00436,1,16,47,2
22.6,25.52,882.5,0.00433,1,16,49,2
22.62,25.48,887.2,0.00432,1,16,50,2
22.62,25.55,889.25,0.00434,1,16,51,2
22.6,25.39,889.2,0.0043,1,16,52,2
22.65,25.42,880.75,0.00432,1,16,53,2
22.6,25.27,868.75,0.00428,1,16,53,2
22.6,25.22,861.0,0.00428,1,16,54,2
22.6,25.2,860.6,0.00427,1,16,56,2
22.6,25.2,864.0,0.00427,1,16,57,2
22.6,25.15,859.0,0.00426,1,16,58,2
22.6,25.14,854.4,0.00426,1,16,59,2
22.6,25.15,847.4,0.00426,1,16,59,2
22.6,25.04,837.2,0.00425,1,17,0,2
22.6,25.05,834.75,0.00425,1,17,2,2
22.6,25.06,832.4,0.00425,1,17,3,2
22.6,25.0,832.0,0.00424,1,17,4,2
22.6,25.0,836.25,0.00424,1,17,5,2
22.6,25.0,832.6,0.00424,1,17,6,2
22.6,25.02,821.5,0.00424,1,17,6,2
22.6,25.1,832.4,0.00426,1,17,8,2
22.6,25.08,832.4,0.00425,1,17,9,2
22.56,25.02,830.75,0.00423,1,17,10,2
22.58,25.08,821.5,0.00425,1,17,10,2
22.58,25.08,818.25,0.00424,1,17,12,2
22.56,24.91,819.8,0.00421,1,17,12,2
22.55,25.2,822.5,0.00426,1,17,13,2
22.6,24.92,818.0,0.00422,1,17,15,2
22.58,25.06,812.8,0.00424,1,17,16,2
22.57,24.91,816.5,0.00421,1,17,17,2
22.52,24.94,822.25,0.00421,1,17,18,2
22.54,24.89,825.0,0.0042,1,17,19,2
22.5,24.86,816.5,0.00419,1,17,19,2
22.5,24.92,811.5,0.0042,1,17,21,2
22.5,24.91,811.0,0.0042,1,17,22,2
22.56,24.81,812.2,0.0042,1,17,23,2
22.52,24.89,814.25,0.0042,1,17,23,2
22.52,24.98,824.0,0.00421,1,17,25,2
22.58,25.08,834.5,0.00424,1,17,25,2
22.6,25.0,837.0,0.00424,1,17,26,2
22.6,25.02,841.17,0.00424,1,17,28,2
22.6,25.04,845.33,0.00425,1,17,29,2
22.6,25.1,854.75,0.00426,1,17,30,2
22.6,25.1,850.33,0.00426,1,17,31,2
22.6,25.08,845.4,0.00425,1,17,31,2
22.6,25.17,854.33,0.00427,1,17,32,2
22.6,25.07,849.33,0.00425,0,17,34,2
22.6,25.2,853.0,0.00427,0,17,35,2
22.6,25.2,853.0,0.00427,0,17,36,2
22.54,25.16,852.0,0.00425,0,17,37,2
22.54,25.16,853.6,0.00425,0,17,38,2
22.54,25.14,845.6,0.00425,0,17,38,2
22.52,25.1,834.25,0.00424,0,17,39,2
22.5,25.04,826.4,0.00422,0,17,41,2
22.5,25.0,819.6,0.00421,0,17,42,2
22.5,25.0,829.6,0.00421,0,17,43,2
22.5,25.0,824.0,0.00421,0,17,44,2
22.5,24.91,814.2,0.0042,0,17,44,2
22.5,24.89,813.5,0.00419,0,17,45,2
22.5,24.89,813.8,0.00419,0,17,47,2
22.5,24.89,811.0,0.00419,0,17,48,2
22.48,24.87,804.6,0.00418,0,17,49,2
22.46,24.83,807.8,0.00417,0,17,50,2
22.5,24.86,802.33,0.00419,0,17,51,2
22.42,24.75,796.75,0.00415,0,17,51,2
22.46,24.81,794.4,0.00417,0,17,53,2
22.39,24.7,790.6,0.00413,0,17,54,2
22.42,24.72,789.75,0.00414,0,17,55,2
22.39,24.7,782.2,0.00413,0,17,55,2
22.39,24.72,772.25,0.00414,1,17,57,2
22.39,24.72,772.92,0.00414,1,17,57,2
22.39,24.71,773.6,0.00414,1,17,58,2
22.39,24.62,773.75,0.00412,1,18,0,2
22.39,24.75,771.8,0.00414,1,18,1,2
22.39,24.91,782.8,0.00417,1,18,2,2
22.39,25.24,796.5,0.00423,1,18,3,2
22.39,25.09,809.0,0.0042,1,18,4,2
22.39,25.0,805.5,0.00418,0,18,4,2
22.35,24.98,791.4,0.00417,0,18,6,2
22.32,25.0,779.33,0.00417,0,18,7,2
22.36,24.97,780.75,0.00417,0,18,8,2
22.32,24.89,781.75,0.00415,0,18,8,2
22.29,24.92,781.0,0.00414,0,18,10,2
22.29,24.91,778.4,0.00414,0,18,10,2
22.26,24.86,769.33,0.00413,0,18,11,2
22.25,24.85,766.5,0.00412,0,18,13,2
22.23,24.79,763.25,0.00411,0,18,14,2
22.26,24.82,762.33,0.00412,0,18,15,2
22.2,24.79,761.5,0.0041,0,18,16,2
22.2,24.79,761.0,0.0041,0,18,16,2
22.2,24.74,757.0,0.00409,0,18,17,2
22.2,24.79,752.33,0.0041,0,18,19,2
22.13,24.7,748.67,0.00407,0,18,20,2
22.1,24.7,746.25,0.00406,0,18,21,2
22.15,24.72,745.25,0.00408,0,18,22,2
22.1,24.7,740.67,0.00406,0,18,23,2
22.1,24.7,738.0,0.00406,0,18,23,2
22.13,24.7,732.67,0.00407,0,18,24,2
22.1,24.7,727.0,0.00406,0,18,26,2
22.1,24.68,716.0,0.00406,0,18,27,2
22.07,24.67,723.25,0.00405,0,18,28,2
22.07,24.67,718.33,0.00405,0,18,29,2
22.0,24.58,716.6,0.00402,0,18,29,2
21.98,24.6,714.0,0.00401,0,18,30,2
21.98,24.56,714.2,0.00401,0,18,32,2
21.94,24.6,715.0,0.00401,0,18,33,2
21.93,24.5,706.67,0.00399,0,18,34,2
21.89,24.5,706.0,0.00398,0,18,35,2
21.89,24.52,698.75,0.00398,0,18,36,2
21.89,24.5,692.5,0.00398,0,18,36,2
21.89,24.5,694.75,0.00398,0,18,38,2
21.82,24.42,697.25,0.00394,0,18,39,2
21.82,24.46,692.0,0.00395,0,18,40,2
21.79,24.39,691.0,0.00393,0,18,40,2
21.79,24.39,689.75,0.00393,0,18,42,2
21.79,24.39,689.0,0.00393,0,18,42,2
21.77,24.39,687.0,0.00393,0,18,43,2
21.77,24.36,679.75,0.00392,0,18,45,2
21.75,24.35,668.4,0.00392,0,18,46,2
21.7,24.29,665.67,0.0039,0,18,47,2
21.7,24.29,664.75,0.0039,0,18,48,2
21.7,24.29,668.0,0.0039,0,18,49,2
21.7,24.29,661.25,0.0039,0,18,49,2
21.64,24.24,658.2,0.00387,0,18,51,2
21.6,24.2,656.0,0.00386,0,18,52,2
21.6,24.2,654.8,0.00386,0,18,53,2
21.6,24.22,653.75,0.00386,0,18,53,2
21.5,24.26,650.33,0.00384,0,18,55,2
21.5,24.2,650.75,0.00383,0,18,55,2
21.55,24.2,648.25,0.00385,0,18,56,2
21.5,24.2,640.33,0.00383,0,18,58,2
21.5,24.2,638.0,0.00383,0,18,59,2
21.5,24.2,636.25,0.00383,0,19,0,2
21.5,24.2,636.33,0.00383,0,19,1,2
21.5,24.15,635.75,0.00383,0,19,1,2
21.5,24.18,635.5,0.00383,0,19,2,2
21.5,24.12,627.5,0.00382,0,19,4,2
21.5,24.15,626.25,0.00383,0,19,5,2
21.5,24.12,621.5,0.00382,0,19,6,2
21.5,24.1,621.75,0.00382,0,19,7,2
21.5,24.1,620.67,0.00382,0,19,8,2
21.5,24.1,617.0,0.00382,0,19,8,2
21.5,24.1,612.75,0.00382,0,19,9,2
21.47,24.08,614.5,0.00381,0,19,11,2
21.39,24.0,617.33,0.00378,0,19,12,2
21.43,23.93,614.25,0.00377,0,19,13,2
21.39,23.97,610.75,0.00377,0,19,14,2
21.39,23.92,603.0,0.00376,0,19,14,2
21.39,23.94,603.5,0.00377,0,19,15,2
21.36,23.89,602.0,0.00375,0,19,17,2
21.32,24.0,605.67,0.00376,0,19,18,2
21.34,23.97,604.5,0.00376,0,19,19,2
21.32,23.97,599.0,0.00375,0,19,20,2
21.36,24.0,600.0,0.00377,0,19,21,2
21.39,23.97,596.5,0.00377,0,19,21,2
21.32,23.89,597.5,0.00374,0,19,23,2
21.29,23.94,594.0,0.00374,0,19,24,2
21.29,23.97,590.5,0.00375,0,19,25,2
21.29,23.89,586.67,0.00374,0,19,25,2
21.29,23.93,588.0,0.00374,0,19,27,2
21.29,23.89,585.5,0.00374,0,19,27,2
21.29,23.89,584.5,0.00374,0,19,28,2
21.25,23.85,587.2,0.00372,0,19,30,2
21.23,23.82,585.0,0.00371,0,19,31,2
21.22,23.81,579.4,0.00371,0,19,32,2
21.2,23.79,579.33,0.0037,0,19,33,2
21.2,23.79,581.6,0.0037,0,19,34,2
21.2,23.79,581.67,0.0037,0,19,34,2
21.2,23.79,577.5,0.0037,0,19,36,2
21.2,23.79,577.33,0.0037,0,19,37,2
21.2,23.77,574.25,0.0037,0,19,38,2
21.2,23.74,569.0,0.00369,0,19,38,2
21.2,23.76,565.33,0.00369,0,19,40,2
21.2,23.7,561.4,0.00369,0,19,40,2
21.2,23.79,567.33,0.0037,0,19,41,2
21.18,23.7,565.33,0.00368,0,19,43,2
21.17,23.7,563.5,0.00368,0,19,44,2
21.12,23.68,559.0,0.00366,0,19,45,2
21.1,23.65,559.5,0.00366,0,19,46,2
21.12,23.65,550.5,0.00366,0,19,46,2
21.1,23.6,553.0,0.00365,0,19,47,2
21.13,23.6,552.0,0.00365,0,19,49,2
21.1,23.6,553.25,0.00365,0,19,50,2
21.1,23.6,545.75,0.00365,0,19,51,2
21.1,23.6,548.0,0.00365,0,19,52,2
21.1,23.6,547.0,0.00365,0,19,53,2
21.1,23.58,545.75,0.00364,0,19,53,2
21.1,23.53,544.0,0.00364,0,19,54,2
21.1,23.47,545.5,0.00363,0,19,56,2
21.1,23.47,547.0,0.00363,0,19,57,2
21.1,23.5,545.25,0.00363,0,19,58,2
21.1,23.5,541.25,0.00363,0,19,59,2
21.12,23.5,540.75,0.00364,0,19,59,2
21.1,23.5,533.33,0.00363,0,20,0,2
21.13,23.5,528.0,0.00364,0,20,2,2
21.1,23.39,537.75,0.00361,0,20,3,2
21.1,23.47,539.5,0.00363,0,20,4,2
21.1,23.5,535.25,0.00363,0,20,5,2
21.1,23.5,537.25,0.00363,0,20,6,2
21.1,23.5,535.25,0.00363,0,20,6,2
21.1,23.5,533.4,0.00363,0,20,8,2
21.1,23.5,524.5,0.00363,0,20,9,2
21.1,23.43,524.8,0.00362,0,20,10,2
21.1,23.39,522.67,0.00361,0,20,10,2
21.1,23.39,521.0,0.00361,0,20,12,2
21.12,23.39,519.75,0.00362,0,20,12,2
21.1,23.39,523.0,0.00361,0,20,13,2
21.1,23.39,523.0,0.00361,0,20,15,2
21.1,23.39,519.0,0.00361,0,20,16,2
21.1,23.36,519.5,0.00361,0,20,17,2
21.1,23.39,519.75,0.00361,0,20,18,2
21.1,23.36,520.0,0.00361,0,20,19,2
21.1,23.33,524.6,0.00361,0,20,19,2
21.08,23.32,520.25,0.0036,0,20,21,2
21.08,23.34,519.0,0.0036,0,20,22,2
21.1,23.29,523.2,0.0036,0,20,23,2
21.03,23.29,517.67,0.00358,0,20,23,2
21.02,23.29,514.2,0.00358,0,20,25,2
21.02,23.29,516.5,0.00358,0,20,25,2
21.0,23.29,521.0,0.00358,0,20,26,2
21.0,23.29,520.0,0.00358,0,20,28,2
21.0,23.25,517.8,0.00357,0,20,29,2
21.0,23.26,514.33,0.00357,0,20,30,2
21.0,23.27,516.75,0.00357,0,20,31,2
21.0,23.29,520.75,0.00358,0,20,31,2
21.0,23.29,519.33,0.00358,0,20,32,2
21.0,23.29,519.0,0.00358,0,20,34,2
21.0,23.29,509.75,0.00358,0,20,35,2
21.0,23.29,508.5,0.00358,0,20,36,2
20.97,23.29,504.5,0.00357,0,20,37,2
21.0,23.29,506.5,0.00358,0,20,38,2
20.97,23.29,509.0,0.00357,0,20,38,2
20.96,23.29,507.25,0.00357,0,20,39,2
21.0,23.29,509.33,0.00358,0,20,41,2
20.89,23.2,509.67,0.00354,0,20,42,2
20.89,23.24,508.25,0.00355,0,20,43,2
20.89,23.22,510.25,0.00354,0,20,44,2
20.89,23.25,504.0,0.00355,0,20,44,2
20.89,23.26,499.33,0.00355,0,20,45,2
20.89,23.22,495.0,0.00354,0,20,47,2
20.89,23.2,496.25,0.00354,0,20,48,2
20.89,23.2,494.75,0.00354,0,20,49,2
20.89,23.2,492.5,0.00354,0,20,50,2
20.89,23.2,494.25,0.00354,0,20,51,2
20.89,23.2,492.33,0.00354,0,20,51,2
20.89,23.12,493.75,0.00353,0,20,53,2
20.89,23.12,484.75,0.00353,0,20,54,2
20.89,23.1,489.25,0.00352,0,20,55,2
20.89,23.1,494.5,0.00352,0,20,55,2
20.89,23.1,495.67,0.00352,0,20,57,2
20.89,23.1,501.5,0.00352,0,20,57,2
20.89,23.1,499.67,0.00352,0,20,58,2
20.89,23.1,492.5,0.00352,0,21,0,2
20.89,23.1,494.25,0.00352,0,21,1,2
20.89,23.1,494.0,0.00352,0,21,2,2
20.97,23.1,489.25,0.00354,0,21,3,2
20.92,23.1,490.0,0.00353,0,21,4,2
20.89,23.1,495.5,0.00352,0,21,4,2
20.89,23.05,498.0,0.00352,0,21,6,2
20.89,23.05,495.0,0.00352,0,21,7,2
20.91,23.0,490.2,0.00351,0,21,8,2
20.93,23.0,492.33,0.00352,0,21,8,2
20.89,23.0,491.67,0.00351,0,21,10,2
20.89,22.96,488.0,0.0035,0,21,10,2
20.93,22.93,488.0,0.00351,0,21,11,2
20.89,23.0,485.0,0.00351,0,21,13,2
20.89,23.0,490.0,0.00351,0,21,14,2
20.92,22.97,489.5,0.00351,0,21,15,2
20.89,22.94,485.25,0.0035,0,21,16,2
20.89,22.89,485.67,0.00349,0,21,16,2
20.92,22.94,485.0,0.00351,0,21,17,2
20.89,22.96,485.2,0.0035,0,21,19,2
20.94,22.89,484.0,0.0035,0,21,20,2
20.89,22.92,483.0,0.0035,0,21,21,2
20.89,22.89,481.0,0.00349,0,21,22,2
20.89,22.89,476.5,0.00349,0,21,23,2
20.89,22.89,475.0,0.00349,0,21,23,2
20.89,22.89,476.0,0.00349,0,21,24,2
20.89,22.89,478.5,0.00349,0,21,26,2
20.89,22.89,481.0,0.00349,0,21,27,2
20.89,22.89,483.0,0.00349,0,21,28,2
20.86,22.86,480.25,0.00348,0,21,29,2
20.89,22.89,480.25,0.00349,0,21,29,2
20.89,22.86,470.75,0.00349,0,21,30,2
20.89,22.89,474.75,0.00349,0,21,32,2
20.89,22.86,482.25,0.00349,0,21,33,2
20.89,22.89,480.33,0.00349,0,21,34,2
20.89,22.89,480.0,0.00349,0,21,35,2
20.89,22.84,481.5,0.00348,0,21,36,2
20.89,22.84,483.5,0.00348,0,21,36,2
20.89,22.79,475.6,0.00348,0,21,38,2
20.89,22.76,475.33,0.00347,0,21,39,2
20.89,22.82,477.67,0.00348,0,21,40,2
20.89,22.79,475.75,0.00348,0,21,40,2
20.89,22.79,479.17,0.00348,0,21,42,2
20.86,22.77,475.0,0.00347,0,21,42,2
20.86,22.77,474.0,0.00347,0,21,43,2
20.89,22.79,477.33,0.00348,0,21,45,2
20.89,22.79,473.0,0.00348,0,21,46,2
20.89,22.77,470.0,0.00347,0,21,47,2
20.86,22.68,468.75,0.00345,0,21,48,2
20.87,22.72,471.4,0.00346,0,21,49,2
20.89,22.7,471.0,0.00346,0,21,49,2
20.89,22.7,468.0,0.00346,0,21,51,2
20.85,22.68,468.6,0.00345,0,21,52,2
20.81,22.62,467.4,0.00343,0,21,53,2
20.79,22.6,469.0,0.00343,0,21,53,2
20.79,22.65,471.25,0.00343,0,21,55,2
20.82,22.73,470.67,0.00345,0,21,55,2
20.79,22.6,466.75,0.00343,0,21,56,2
20.79,22.64,466.8,0.00343,0,21,58,2
20.79,22.7,468.75,0.00344,0,21,59,2
20.79,22.65,467.5,0.00343,0,22,0,2
20.79,22.63,469.67,0.00343,0,22,1,2
20.79,22.7,469.75,0.00344,0,22,1,2
20.79,22.6,469.75,0.00343,0,22,2,2
20.79,22.6,467.25,0.00343,0,22,4,2
20.77,22.6,461.4,0.00342,0,22,5,2
20.79,22.6,469.25,0.00343,0,22,6,2
20.79,22.62,468.0,0.00343,0,22,7,2
20.73,22.6,469.0,0.00341,0,22,8,2
20.79,22.6,467.25,0.00343,0,22,8,2
20.79,22.6,467.4,0.00343,0,22,9,2
20.79,22.6,467.67,0.00343,0,22,11,2
20.74,22.6,471.5,0.00342,0,22,12,2
20.76,22.6,471.67,0.00342,0,22,13,2
20.72,22.6,464.75,0.00341,0,22,14,2
20.72,22.6,461.75,0.00341,0,22,14,2
20.72,22.6,458.5,0.00341,0,22,15,2
20.74,22.55,459.5,0.00341,0,22,17,2
20.72,22.55,460.5,0.0034,0,22,18,2
20.76,22.57,465.33,0.00341,0,22,19,2
20.72,22.5,465.0,0.0034,0,22,20,2
20.72,22.5,459.0,0.0034,0,22,21,2
20.77,22.5,463.0,0.00341,0,22,21,2
20.74,22.5,460.75,0.0034,0,22,23,2
20.7,22.5,461.5,0.00339,0,22,24,2
20.7,22.5,466.0,0.00339,0,22,25,2
20.77,22.5,460.25,0.00341,0,22,25,2
20.72,22.52,457.4,0.0034,0,22,27,2
20.7,22.5,464.6,0.00339,0,22,27,2
20.73,22.5,464.33,0.0034,0,22,28,2
20.7,22.5,459.33,0.00339,0,22,30,2
20.7,22.5,459.75,0.00339,0,22,31,2
20.72,22.5,459.25,0.0034,0,22,32,2
20.7,22.5,463.0,0.00339,0,22,33,2
20.72,22.44,461.5,0.00339,0,22,34,2
20.7,22.5,454.5,0.00339,0,22,34,2
20.7,22.5,458.33,0.00339,0,22,36,2
20.72,22.5,463.0,0.0034,0,22,37,2
20.7,22.5,463.75,0.00339,0,22,38,2
20.7,22.46,460.6,0.00338,0,22,38,2
20.7,22.5,455.25,0.00339,0,22,40,2
20.7,22.5,455.67,0.00339,0,22,40,2
20.7,22.5,456.25,0.00339,0,22,41,2
20.7,22.43,459.67,0.00338,0,22,43,2
20.7,22.5,462.0,0.00339,0,22,44,2
20.72,22.47,460.25,0.00339,0,22,45,2
20.72,22.43,462.0,0.00339,0,22,46,2
20.73,22.39,461.0,0.00338,0,22,46,2
20.7,22.39,461.67,0.00337,0,22,47,2
20.74,22.39,460.25,0.00338,0,22,49,2
20.72,22.36,456.25,0.00338,0,22,50,2
20.74,22.39,457.5,0.00338,0,22,51,2
20.77,22.37,455.8,0.00339,0,22,52,2
20.76,22.39,455.0,0.00339,0,22,53,2
20.77,22.36,451.25,0.00338,0,22,53,2
20.74,22.39,453.75,0.00338,0,22,54,2
20.74,22.39,456.2,0.00338,0,22,56,2
20.73,22.36,453.67,0.00338,0,22,57,2
20.7,22.34,452.75,0.00337,0,22,58,2
20.76,22.36,454.0,0.00338,0,22,59,2
20.74,22.39,452.5,0.00338,0,22,59,2
20.73,22.39,456.0,0.00338,0,23,0,2
20.74,22.34,451.5,0.00338,0,23,2,2
20.7,22.37,449.8,0.00337,0,23,3,2
20.7,22.36,449.25,0.00337,0,23,4,2
20.7,22.36,452.25,0.00337,0,23,5,2
20.72,22.34,451.25,0.00337,0,23,6,2
20.7,22.34,453.0,0.00337,0,23,6,2
20.7,22.39,453.25,0.00337,0,23,8,2
20.7,22.32,456.67,0.00336,0,23,9,2
20.7,22.29,455.75,0.00336,0,23,10,2
20.7,22.36,458.0,0.00337,0,23,10,2
20.7,22.34,458.75,0.00337,0,23,12,2
20.7,22.29,455.5,0.00336,0,23,12,2
20.7,22.29,455.0,0.00336,0,23,13,2
20.7,22.29,453.33,0.00336,0,23,15,2
20.7,22.33,454.6,0.00337,0,23,16,2
20.7,22.29,457.5,0.00336,0,23,17,2
20.7,22.29,449.67,0.00336,0,23,18,2
20.7,22.29,452.0,0.00336,0,23,19,2
20.7,22.29,453.5,0.00336,0,23,19,2
20.7,22.29,452.0,0.00336,0,23,21,2
20.7,22.29,450.6,0.00336,0,23,22,2
20.7,22.29,450.67,0.00336,0,23,23,2
20.7,22.29,451.0,0.00336,0,23,23,2
20.7,22.29,454.5,0.00336,0,23,25,2
20.7,22.29,457.25,0.00336,0,23,25,2
20.7,22.32,456.0,0.00336,0,23,26,2
20.68,22.29,456.5,0.00335,0,23,28,2
20.68,22.29,453.5,0.00335,0,23,29,2
20.7,22.29,454.25,0.00336,0,23,30,2
20.68,22.22,454.0,0.00334,0,23,31,2
